name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
peddapuram,2022-10-01,28.3,25.6,26.7,33,25.6,28.2,24.8,89.3,0.401,100,4.17,rain,0,0,22.7,10.4,280.4,1003.8,99.3,15,82.1,7,3,60,2022-10-01T05:51:34,2022-10-01T17:50:41,0.19,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-02,31.2,26.1,28.2,41.5,26.1,32.4,25.4,85.1,2.407,100,8.33,rain,0,0,21.2,10.1,272.8,1003,96.3,17,149.3,13,6,75,2022-10-02T05:51:43,2022-10-02T17:49:53,0.23,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-03,31.6,25.9,28.4,41,25.9,33.6,25.7,85.7,0.42,100,8.33,rain,0,0,24.5,7.6,16.1,1003.2,93.9,16.7,157.2,13.6,6,60,2022-10-03T05:51:53,2022-10-03T17:49:05,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-04,30.5,26,27.7,38.7,26,31.5,25.4,87.4,0.501,100,4.17,rain,0,0,21.6,7.2,186.3,1004,96.6,17.8,124.7,10.9,5,30,2022-10-04T05:52:02,2022-10-04T17:48:18,0.3,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-05,32,25.8,27.7,39.1,25.8,31.1,25.1,86.1,8.117,100,8.33,rain,0,0,40.7,22,86.1,1005.4,89.8,16.9,136.8,11.7,7,60,2022-10-05T05:52:13,2022-10-05T17:47:31,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-06,30,25.9,27.1,37.4,25.9,29.2,24.9,88.1,20.088,100,16.67,rain,0,0,42.8,24.8,119.4,1006.3,95.7,10,124.7,10.9,5,60,2022-10-06T05:52:23,2022-10-06T17:46:45,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-07,31.8,25.5,27.4,41.6,25.5,30.7,25.1,87.4,22,100,8.33,rain,0,0,32.4,16.2,131,1007.9,88.9,13.2,138.6,11.9,5,60,2022-10-07T05:52:34,2022-10-07T17:45:59,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-08,31.3,25.5,27.4,46.2,25.5,31.2,25.5,89.4,7.298,100,12.5,rain,0,0,31.7,18,69.1,1008.9,83.3,17.2,185.1,16.1,6,60,2022-10-08T05:52:45,2022-10-08T17:45:13,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-09,28.4,25.7,26.6,34.3,25.7,28.2,24.9,90.1,14.198,100,12.5,rain,0,0,31,18.7,68.4,1009.4,94.4,13.1,100.5,8.7,4,30,2022-10-09T05:52:56,2022-10-09T17:44:28,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-10,27.6,25.1,26.2,31.4,25.1,27.4,24.5,90.3,68.799,100,25,rain,0,0,31,14.8,112.2,1011.1,95.2,12.5,126.8,10.9,5,60,2022-10-10T05:53:08,2022-10-10T17:43:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-11,31.2,24.6,26.9,39,24.6,29,24.5,87,9.897,100,8.33,rain,0,0,23.8,11.5,110.5,1010.8,80.2,17.1,187.1,16.1,8,30,2022-10-11T05:53:20,2022-10-11T17:43:00,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43189099999,43147099999,remote"
peddapuram,2022-10-12,32.3,25.4,27.7,39.7,25.4,30.9,24.5,83,5.398,100,4.17,rain,0,0,23,11.5,129.2,1010.4,54.4,17.1,210.1,18.4,8,60,2022-10-12T05:53:33,2022-10-12T17:42:16,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43189099999,43147099999,remote"
